id,title,artist,album,duration,thumbnail,url,published_date
1,🪐,coldplay,Music Of The Spheres,"53,184",coldplay/music_of_the_spheres.jpeg,coldplay/🪐.MP3,2000
2,Higher Power,coldplay,Music Of The Spheres,"206,681",coldplay/music_of_the_spheres.jpeg,coldplay/higher_power.MP3,2000
3,Humankind,coldplay,Music Of The Spheres,"266,704",coldplay/music_of_the_spheres.jpeg,coldplay/humankind.MP3,2000
4,✨,coldplay,Music Of The Spheres,"53,033",coldplay/music_of_the_spheres.jpeg,coldplay/✨.MP3,2000
5,Let Somebody Go,coldplay,Music Of The Spheres,"241,595",coldplay/music_of_the_spheres.jpeg,coldplay/let_somebody_go.MP3,2000
6,❤️,coldplay,Music Of The Spheres,"188,966",coldplay/music_of_the_spheres.jpeg,coldplay/❤️.MP3,2000
7,People of The Pride,coldplay,Music Of The Spheres,"217,266",coldplay/music_of_the_spheres.jpeg,coldplay/people_of_the_pride.MP3,2000
8,Biutyful,coldplay,Music Of The Spheres,"192,394",coldplay/music_of_the_spheres.jpeg,coldplay/biutyful.MP3,2000
9,🌎,coldplay,Music Of The Spheres,"21,388",coldplay/music_of_the_spheres.jpeg,coldplay/🌎.MP3,2000
10,My Universe,coldplay,Music Of The Spheres,"226,198",coldplay/music_of_the_spheres.jpeg,coldplay/my_universe.MP3,2000
11,♾,coldplay,Music Of The Spheres,"226,14",coldplay/music_of_the_spheres.jpeg,coldplay/♾.MP3,2000
12,Coloratura,coldplay,Music Of The Spheres,"617,057",coldplay/music_of_the_spheres.jpeg,coldplay/coloratura.MP3,2000
13,Sunrise,coldplay,Everyday Life,"151,093",coldplay/everyday_life.jpeg,coldplay/sunrise.MP3,2000
14,Church,coldplay,Everyday Life,"230,013",coldplay/everyday_life.jpeg,coldplay/church.MP3,2000
15,Trouble In Town,coldplay,Everyday Life,"278,906",coldplay/everyday_life.jpeg,coldplay/trouble_in_town.MP3,2000
16,BrokEn,coldplay,Everyday Life,"150,2",coldplay/everyday_life.jpeg,coldplay/broken.MP3,2000
17,Daddy,coldplay,Everyday Life,"298,32",coldplay/everyday_life.jpeg,coldplay/daddy.MP3,2000
18,WOTW / POTP,coldplay,Everyday Life,"76,933",coldplay/everyday_life.jpeg,coldplay/wotw_/_potp.MP3,2000
19,Arabesque,coldplay,Everyday Life,"340,28",coldplay/everyday_life.jpeg,coldplay/arabesque.MP3,2000
20,When I Need A Friend,coldplay,Everyday Life,155,coldplay/everyday_life.jpeg,coldplay/when_i_need_a_friend.MP3,2000
21,Guns,coldplay,Everyday Life,"115,08",coldplay/everyday_life.jpeg,coldplay/guns.MP3,2000
